OBJECTID,Artist,Title,Date_,Date_Painted,Materials,Address,Description,Asset_ID,Number_,Type,URL_1,URL_2,Check_Image,created_user,created_date,last_edited_user,last_edited_date,Shape__Length
1,Amok Island,Tasmanian Red Handfish,2016,2016-08-16T00:00:00.000Z,Paint,"Prudy Mart, Hobart","Endemic to Tasmania, the red handfish uses its fins to 'walk' across the seafloor. With less than 1000 remaining in the wild, this artwork seeks to raise awareness and encourage protection of this unique fish.
",,1,Art Wall,http://hccapps.hobartcity.com.au/gis/PublicArt/artwall_01.jpg,,,HCCGISAG,2017-07-17T00:37:23.054Z,HCCGISAG,2017-07-17T00:37:23.054Z,0.000150081805519557
3,Jae Criddle,Chairs,2016,2016-09-01T00:00:00.000Z,Paint,Prudys Mart,"A nod to Mr Arthur Prudy, Chairs speaks of local history, referencing his second hand furniture business, which ran in the lane for 27 years. These quirky characters sit on antique chairs, carefully keeping watch on Purdys Mart.",,2,Art Wall,http://hccapps.hobartcity.com.au/gis/PublicArt/artwall_02.jpg,,,HCCGISAG,2017-07-17T00:37:23.054Z,HCCGISAG,2017-07-17T00:37:23.054Z,0.000193901156964091
4,"Chooka, Aedan Howlett, Seven, Odi, Lukan Smith",MOBIUS STRIP,2017,2017-03-30T00:00:00.000Z,Paint,82-84 Bathurst Street,"MOBIUS STRIP is a 5-minded reflection on the ocean, Styles, colours and ideas clashing like waves-creating an aquatic harmony. With many individual stories told, the story for the viewer is let to their own imagination.",,3,Art Wall,http://hccapps.hobartcity.com.au/gis/PublicArt/artwall_03.jpg,,,HCCGISAG,2017-07-17T00:37:23.054Z,HCCGISAG,2017-07-17T00:37:23.054Z,0.000292718500331047
5,Sarah Etheridge,Sprout,2016,2017-03-30T00:00:00.000Z,Paint,165 Elizabeth Street,"Sprout is a discussion about consumerism and in particular, everyday recyclable material. I've done this by attracting city goers using vibrant colours against an almost harsh white wall, allowing them to reflect upon its deeper meaning and what they can take from it.",,4,Art Wall,http://hccapps.hobartcity.com.au/gis/PublicArt/artwall_04.jpg,,,HCCGISAG,2017-07-17T00:37:23.054Z,HCCGISAG,2017-07-17T00:37:23.054Z,0.000154684477462905
6,Stormie Mills,Lost giant,2015,2015-01-01T00:00:00.000Z,Paint,Criterion Street,"Lost Giant is a character in a global story. With his smartphone's GPS in hand, he sets out on a journey to discover the city himself. Share the journey as he navigates the streets of Hobart.",,5,Art Wall,http://hccapps.hobartcity.com.au/gis/PublicArt/artwall_05.jpg,,,HCCGISAG,2017-07-17T00:37:23.054Z,HCCGISAG,2017-07-17T00:37:23.054Z,6.20197637678219e-05
7,Tom O'Hern,Teraform,2016,2016-03-01T00:00:00.000Z,Paint,Mathers Place,Teraform is a weed pushing through a crack. It's some far off jungle. Your mildly disturbed neighbour's overgrown yard. A rouge bacteria clinging to a probe on Mars. R maybe just the kind of place where car wrecks go to be swallowed.,,6,Art Wall,http://hccapps.hobartcity.com.au/gis/PublicArt/artwall_06.jpg,,,HCCGISAG,2017-07-17T00:37:23.054Z,HCCGISAG,2017-07-17T00:37:23.054Z,0.00010264047999455
8,Jade Pollard,Trapdoor,2017,2017-03-30T00:00:00.000Z,Paint,162 Liverpool Street,"Trapdoor takes passers-by on a tourney through a dark dungeon cave filled with treasure and crystals. Influenced by various cartoons, including a 1990's tv show of the same name, Trapdoor is a nostalgic connection to a 1990s childhood.",,7,Art Wall,http://hccapps.hobartcity.com.au/gis/PublicArt/artwall_07.jpg,,,HCCGISAG,2017-07-17T00:37:23.054Z,HCCGISAG,2017-07-17T00:37:23.054Z,0.000167272156833668
9,Bonsai and Ghostpatrol,Yes Mountain,2016,2015-11-15T00:00:00.000Z,Paint,Victoria Street, ,,8,Art Wall,http://hccapps.hobartcity.com.au/gis/PublicArt/artwall_08.jpg,,,HCCGISAG,2017-07-17T00:37:23.054Z,HCCGISAG,2017-07-17T00:37:23.054Z,8.38664939726869e-05
10,Luffy Rae,Rodent Six,2017,2017-03-30T00:00:00.000Z,Paint,158 Collins St,"Re-imaging object and artefacts from the pop culture that surrounded children growing up in the 1990s. Virtual pets and portable game console inhabit vivid memories of tender moments, looming over us forever with dreaming eyes and rose coloured cheeks.",,9,Art Wall,http://hccapps.hobartcity.com.au/gis/PublicArt/artwall_09.jpg,,,HCCGISAG,2017-07-17T00:37:23.054Z,HCCGISAG,2017-07-17T00:37:23.054Z,0.00013424588520192
11,Stormie Mills,Everyone Needs a Hand Sometimes,2015,2015-11-15T00:00:00.000Z,Paint,Collins Court,"As these characters push and swing, we see the idea of giving and taking and working together to create the equilibrium required to maintain the balance of everyday life, set against the backdrop of Hobart's hanging urban landscape.",,10,Art Wall,http://hccapps.hobartcity.com.au/gis/PublicArt/artwall_10.jpg,,,HCCGISAG,2017-07-17T00:37:23.054Z,HCCGISAG,2017-07-17T00:37:23.054Z,9.7556215752311e-05
